iter	Logloss
0	0.6221820344
1	0.5753320281
2	0.5446366928
3	0.5128970014
4	0.4921579048
5	0.471993183
6	0.4607991147
7	0.4484966624
8	0.4392096848
9	0.4310960321
10	0.4264604332
11	0.42192394
12	0.4177087325
13	0.4137717814
14	0.4106644878
15	0.4077391028
16	0.4047731186
17	0.4026952412
18	0.4000085172
19	0.3975829089
20	0.3950220537
21	0.3930044835
22	0.3913983265
23	0.3895923495
24	0.3879331565
25	0.387008095
26	0.3852308021
27	0.3842315778
28	0.3824796369
29	0.3809005807
30	0.3794365953
31	0.3786692328
32	0.3778634588
33	0.3771136045
34	0.3762795937
35	0.3753659347
36	0.3739710001
37	0.373011288
38	0.3719553949
39	0.3717261417
40	0.3708430326
41	0.3697439777
42	0.3686680322
43	0.3676781565
44	0.3663394588
45	0.3654477514
46	0.3648315117
47	0.3639216312
48	0.3632498272
49	0.3619189492
