iter	Passed	Remaining
0	7	358
1	13	333
2	20	328
3	26	309
4	32	288
5	39	286
6	44	276
7	50	265
8	56	257
9	62	248
10	66	235
11	72	229
12	78	222
13	84	216
14	89	209
15	95	202
16	100	195
17	105	188
18	112	182
19	118	177
20	124	172
21	129	165
22	136	160
23	141	153
24	146	146
25	152	140
26	157	133
27	161	126
28	166	120
29	170	113
30	174	107
31	178	100
32	184	94
33	189	88
34	194	83
35	199	77
36	204	71
37	210	66
38	215	60
39	219	54
40	224	49
41	230	43
42	236	38
43	242	33
44	248	27
45	255	22
46	260	16
47	266	11
48	272	5
49	278	0
